round,step,time_s,step_energy_mj,num_active,num_prefill
0,0,0.0,47763.0001,0,1
0,1,1.6394,58503.9999,21,0
0,2,1.7359,33960.9998,21,0
0,3,1.7904,36348.0,21,0
0,4,1.8482,36438.0003,21,0
0,5,1.9048,33150.9999,21,0
0,6,1.955,39942.9998,21,0
0,7,2.0141,41426.9999,0,1
0,8,2.0805,37032.9999,22,0
0,9,2.1348,34994.0001,22,0
0,10,2.1847,33986.0001,22,0
0,11,2.2352,34402.0,22,0
0,12,2.2845,34176.0,22,0
0,13,2.3356,34421.0,22,0
0,14,2.3849,33556.0,22,0
0,15,2.4353,34928.0001,22,0
0,16,2.4851,34163.0,22,0
0,17,2.537,37559.0001,22,0
0,18,2.5902,33177.9999,22,0
0,19,2.6365,35154.0,22,0
0,20,2.6858,33523.9999,22,0
0,21,2.7362,35205.9999,22,0
0,22,2.7862,33137.0,22,0
0,23,2.8361,35211.0001,22,0
0,24,2.8862,34150.0002,22,0
0,25,2.9373,35055.9998,22,0
0,26,2.9864,33296.0001,22,0
0,27,3.0373,34994.9999,22,0
0,28,3.0866,33433.9999,22,0
0,29,3.1368,35096.9999,22,0
0,30,3.1867,33787.0002,22,0
0,31,3.237,34321.9999,22,0
0,32,3.2856,34369.9998,22,0
0,33,3.3349,33610.0,22,0
0,34,3.3858,36234.0001,22,0
0,35,3.4374,34375.9998,22,0
0,36,3.4859,35616.0002,22,0
0,37,3.5375,33707.9998,22,0
0,38,3.5861,34887.0001,22,0
0,39,3.6357,34010.0,22,0
0,40,3.6864,36007.9998,22,0
0,41,3.738,34332.0004,22,0
0,42,3.7882,32885.9998,22,0
0,43,3.8383,33770.0,22,0
0,44,3.8869,34894.0001,22,0
0,45,3.9364,33744.0002,22,0
0,46,3.9871,35581.9999,22,0
0,47,4.0365,43966.0001,0,1
0,48,4.0941,34530.9999,23,0
0,49,4.141,35898.0,23,0
0,50,4.1958,34436.0,23,0
0,51,4.2478,36308.9999,23,0
0,52,4.2993,34648.0,23,0
0,53,4.35,33294.0,23,0
0,54,4.4002,34817.9998,23,0
0,55,4.45,33850.0001,23,0
0,56,4.5007,35114.0002,23,0
0,57,4.551,33505.0,23,0
0,58,4.6012,34957.9998,23,0
0,59,4.6513,34046.0002,23,0
0,60,4.7015,34471.9999,23,0
0,61,4.7512,34284.9998,23,0
0,62,4.8017,35673.0002,23,0
0,63,4.8519,33604.9999,23,0
0,64,4.9015,35026.9998,23,0
0,65,4.9505,33772.9998,23,0
0,66,5.0021,34264.0001,23,0
0,67,5.0517,33900.0003,23,0
0,68,5.1018,34892.9995,23,0
0,69,5.1511,33663.0001,23,0
0,70,5.2026,34574.0,23,0
0,71,5.2513,33795.0,23,0
0,72,5.3022,35558.0,23,0
0,73,5.3533,33452.0001,23,0
0,74,5.4032,34800.9999,23,0
0,75,5.4518,33971.0,23,0
0,76,5.5031,35037.0002,23,0
0,77,5.5538,33621.9999,23,0
0,78,5.6036,34441.0001,23,0
0,79,5.6527,33603.0,23,0
0,80,5.7031,34587.0,23,0
0,81,5.7533,33631.0,23,0
0,82,5.8039,34878.0,23,0
0,83,5.8531,34130.0,23,0
0,84,5.9043,34720.9997,23,0
0,85,5.9533,34015.0,23,0
0,86,6.0047,51324.0,0,1
0,87,6.0644,35952.0001,24,0
0,88,6.1135,35035.9999,24,0
0,89,6.1665,36749.9999,24,0
0,90,6.2209,35738.0002,24,0
0,91,6.2745,34086.0001,24,0
0,92,6.3254,34528.0,24,0
0,93,6.3741,34063.9999,24,0
0,94,6.4257,34967.0002,24,0
0,95,6.4745,34435.9999,24,0
0,96,6.5259,34765.0,24,0
0,97,6.5748,34344.9999,24,0
0,98,6.6261,35004.0002,24,0
0,99,6.6749,34450.0002,24,0
0,100,6.7265,34824.0,24,0
0,101,6.7751,33755.9998,24,0
0,102,6.8264,34681.0001,24,0
0,103,6.8754,33761.0,24,0
0,104,6.9266,38946.0001,24,0
0,105,6.9813,34803.0,24,0
0,106,7.0288,35505.9999,24,0
0,107,7.0824,33872.9999,24,0
0,108,7.1295,35670.0,24,0
0,109,7.1824,34080.9999,24,0
0,110,7.2293,35522.0,24,0
0,111,7.2824,33762.0002,24,0
0,112,7.3291,36089.0,24,0
0,113,7.3833,33891.0002,24,0
0,114,7.4323,35541.0001,24,0
0,115,7.4824,35389.0001,24,0
0,116,7.5325,35475.9997,24,0
0,117,7.5825,33712.0,24,0
0,118,7.6296,36383.9999,24,0
0,119,7.6826,34196.9999,24,0
0,120,7.7301,37199.0,24,0
0,121,7.7828,65744.0002,24,0
0,122,7.8832,37794.9998,24,0
0,123,7.9382,34429.9999,24,0
0,124,7.9894,36750.9999,24,0
0,125,8.0435,40967.0,0,1
0,126,8.1037,35568.9999,25,0
0,127,8.1538,36363.0003,25,0
0,128,8.2055,36337.9997,25,0
0,129,8.2589,34788.0001,25,0
0,130,8.3102,37224.0001,25,0
0,131,8.3647,35890.9999,25,0
0,132,8.4143,37637.0002,25,0
0,133,8.4669,35664.9998,25,0
0,134,8.5194,34757.9999,25,0
0,135,8.5712,37048.0002,25,0
0,136,8.6255,38223.9999,25,0
0,137,8.6807,34015.9998,25,0
0,138,8.7321,37213.0001,25,0
0,139,8.7858,35311.0001,25,0
0,140,8.8334,37000.9999,25,0
0,141,8.8877,35267.0001,25,0
0,142,8.9403,34335.9998,25,0
0,143,8.9921,36485.0,25,0
0,144,9.0466,38612.0001,25,0
0,145,9.1011,34248.9998,25,0
0,146,9.1527,37149.0,25,0
0,147,9.207,35633.9998,25,0
0,148,9.2565,37765.0001,25,0
0,149,9.3095,34989.0002,25,0
0,150,9.3633,34723.9999,25,0
0,151,9.4141,36824.0,25,0
0,152,9.4661,34610.9999,25,0
0,153,9.5142,38809.9998,25,0
0,154,9.5694,35939.0001,25,0
0,155,9.6207,36285.9999,25,0
0,156,9.6717,34762.0,25,0
0,157,9.7208,36118.0001,25,0
0,158,9.7745,39332.9998,25,0
0,159,9.8314,35402.9999,25,0
0,160,9.8829,34358.0002,25,0
0,161,9.9355,37929.9997,25,0
0,162,9.9897,36968.0001,25,0
0,163,10.0415,44623.0003,0,1
0,164,10.1017,37275.9997,26,0
0,165,10.1556,36716.0001,26,0
0,166,10.2105,37335.0,26,0
0,167,10.2629,37075.0,26,0
0,168,10.3158,35791.9999,26,0
0,169,10.3706,37065.0001,26,0
0,170,10.4227,36172.9999,26,0
0,171,10.4762,37258.0003,26,0
0,172,10.5322,36281.9998,26,0
0,173,10.5831,36515.0,26,0
0,174,10.6342,36457.0001,26,0
0,175,10.687,34739.9998,26,0
0,176,10.738,36959.0,26,0
0,177,10.7927,35325.0,26,0
0,178,10.8438,36762.0,26,0
0,179,10.8962,36931.9998,26,0
0,180,10.9532,36750.0,26,0
0,181,11.0042,36725.0,26,0
0,182,11.0562,37178.0001,26,0
0,183,11.1099,36394.9999,26,0
0,184,11.1637,38189.9999,26,0
0,185,11.2151,35025.0,26,0
0,186,11.2649,36695.0001,26,0
0,187,11.3169,35550.0002,26,0
0,188,11.3686,35589.0,26,0
0,189,11.4191,36328.9998,26,0
0,190,11.471,34978.0002,26,0
0,191,11.5222,36788.0,26,0
0,192,11.5742,36793.0,26,0
0,193,11.6269,36574.9998,26,0
