round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,0,0,python_code,50,12000,0.0,True,stream_140709704578768_0_14158160617175156
0,1,1,WizardLM,14,12000,0.0,True,stream_140709704578768_1_14158160617473044
0,2,2,python_code,50,12000,0.0,True,stream_140709704578768_2_14158160617562665
0,3,3,WizardLM,82,12000,0.0,True,stream_140709704578768_3_14158160617641806
0,4,4,python_code,13,12000,0.0,True,stream_140709704578768_4_14158160617719911
0,5,5,python_code,47,12000,0.0,True,stream_140709704578768_5_14158160617790641
0,6,6,python_code,15,12000,0.0,True,stream_140709704578768_6_14158160617861754
0,7,7,LongForm,395,12000,0.0,True,stream_140709704578768_7_14158160617932298
0,8,8,WizardLM,140,4037,0.0,True,stream_140709704578768_8_14158160618029012
0,9,9,LongForm,14,2166,0.0,True,stream_140709704578768_9_14158160618107077
0,10,10,LongForm,12,12000,0.0,True,stream_140709704578768_10_14158160618174370
0,11,11,python_code,14,2288,0.0,True,stream_140709704578768_11_14158160618240455
0,12,12,WizardLM,133,12000,0.0,True,stream_140709704578768_12_14158160618304837
0,13,13,python_code,18,12000,0.0,True,stream_140709704578768_13_14158160618375230
0,14,14,python_code,50,12000,0.0,True,stream_140709704578768_14_14158160618438268
0,15,15,WizardLM,154,12000,0.0,True,stream_140709704578768_15_14158160618503824
0,16,16,WizardLM,16,12000,0.0,True,stream_140709704578768_16_14158160618723224
0,17,17,WizardLM,66,12000,0.0,True,stream_140709704578768_17_14158160618805053
0,18,18,LongForm,15,12000,0.0,True,stream_140709704578768_18_14158160618878417
0,19,19,LongForm,263,12000,0.0,True,stream_140709704578768_19_14158160618944971
0,20,0,python_code,50,12000,0.0,False,stream_140709704578768_20_14158160838452676
0,21,1,WizardLM,14,12000,2.01,False,stream_140709704578768_21_14158162852546616
0,22,2,python_code,50,12000,4.04,False,stream_140709704578768_22_14158164874936637
0,23,3,WizardLM,82,12000,6.0,False,stream_140709704578768_23_14158166843096001
0,24,4,python_code,13,12000,8.04,False,stream_140709704578768_24_14158168881916479
0,25,5,python_code,47,12000,10.04,False,stream_140709704578768_25_14158170879909692
0,26,6,python_code,15,12000,12.05,False,stream_140709704578768_26_14158172886399339
0,27,7,LongForm,395,1166,14.05,False,stream_140709704578768_27_14158174883449946
0,28,8,WizardLM,140,12000,16.05,False,stream_140709704578768_28_14158176888890569
0,29,9,LongForm,14,12000,18.03,False,stream_140709704578768_29_14158178872272149
0,30,10,LongForm,12,12000,20.0,False,stream_140709704578768_30_14158180838544219
0,31,11,python_code,14,1215,22.03,False,stream_140709704578768_31_14158182864215394
0,32,12,WizardLM,133,12000,24.06,False,stream_140709704578768_32_14158184895068555
0,33,13,python_code,18,2454,26.0,False,stream_140709704578768_33_14158186839063044
0,34,14,python_code,50,12000,28.04,False,stream_140709704578768_34_14158188877294647
0,35,15,WizardLM,154,12000,30.02,False,stream_140709704578768_35_14158190857364638
0,36,16,WizardLM,16,1026,32.05,False,stream_140709704578768_36_14158192883737122
0,37,17,WizardLM,66,1133,34.04,False,stream_140709704578768_37_14158194877753851
0,38,18,LongForm,15,12000,36.03,False,stream_140709704578768_38_14158196865485389
0,39,19,LongForm,263,12000,38.04,False,stream_140709704578768_39_14158198876252758
