round,decode_step,position,step_energy_mj,active_requests,per_token_energy_mj
0,163,163,78068.0001,30,2602.2667
0,164,164,78304.0,30,2610.1333
0,165,165,79340.0003,30,2644.6667
0,166,166,79777.0,30,2659.2333
0,167,167,77641.0002,30,2588.0333
0,168,168,78497.9999,30,2616.6
0,169,169,79277.0001,30,2642.5667
0,170,170,78561.0,30,2618.7
0,171,171,78429.0,30,2614.3
0,172,172,82207.9999,30,2740.2667
0,173,173,78404.0,30,2613.4667
0,174,174,79013.0,30,2633.7667
0,175,175,80353.0,30,2678.4333
0,176,176,78284.0002,30,2609.4667
0,177,177,80035.0,30,2667.8333
0,178,178,78666.9998,30,2622.2333
0,179,179,80064.0,30,2668.8
0,180,180,80089.0001,30,2669.6333
0,181,181,79378.0001,30,2645.9333
0,182,182,78001.9999,30,2600.0667
0,183,183,78474.0002,30,2615.8
0,184,184,81014.9999,30,2700.5
0,185,185,77146.9998,30,2571.5667
0,186,186,78010.0,30,2600.3333
0,187,187,81939.9999,30,2731.3333
0,188,188,78154.9999,30,2605.1667
0,189,189,78505.9999,30,2616.8667
0,190,190,80184.0,30,2672.8
0,191,191,78315.0002,30,2610.5
0,192,192,79549.9998,30,2651.6667
0,193,193,79586.0,30,2652.8667
0,194,194,77492.0002,30,2583.0667
0,195,195,79839.9999,30,2661.3333
0,196,196,78897.0,30,2629.9
0,197,197,78125.0,30,2604.1667
0,198,198,79059.9998,30,2635.3333
0,199,199,77865.0001,30,2595.5
0,200,200,78101.0,30,2603.3667
0,201,201,79501.0,30,2650.0333
0,202,202,79708.9999,30,2656.9667
0,203,203,78780.0,30,2626.0
0,204,204,81191.0001,30,2706.3667
0,205,205,78288.9999,30,2609.6333
0,206,206,79045.9999,30,2634.8667
0,207,207,78217.9999,30,2607.2667
0,208,208,79255.0001,30,2641.8333
0,209,209,80473.0,30,2682.4333
0,210,210,79615.9999,30,2653.8667
0,211,211,81900.0001,30,2730.0
0,212,212,79270.0,30,2642.3333
0,213,213,81238.0002,30,2707.9333
0,214,214,77635.9999,30,2587.8667
0,215,215,78384.0001,30,2612.8
0,216,216,80200.9999,30,2673.3667
0,217,217,77739.0001,30,2591.3
0,218,218,77691.9999,30,2589.7333
0,219,219,79585.0002,30,2652.8333
0,220,220,79282.0002,30,2642.7333
0,221,221,78514.0001,30,2617.1333
0,222,222,79026.0,30,2634.2
0,223,223,77428.0,30,2580.9333
0,224,224,81200.0,30,2706.6667
0,225,225,78412.9999,30,2613.7667
0,226,226,78546.0002,30,2618.2
0,227,227,79247.9999,30,2641.6
0,228,228,79031.0001,30,2634.3667
0,229,229,79025.9998,30,2634.2
0,230,230,82484.0001,30,2749.4667
0,231,231,80175.0,30,2672.5
0,232,232,81277.0,30,2709.2333
0,233,233,78936.0,30,2631.2
0,234,234,78412.0001,30,2613.7333
