position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
1,1851.14,1276.0212,595.7461,4199.2344,917,decode
2,892.5515,251.3647,583.9609,1786.9047,917,decode
3,899.0437,240.1092,571.5742,1823.8571,917,decode
4,898.3399,302.7259,602.8008,4859.8125,917,decode
5,899.9004,239.6308,573.8516,1795.0952,917,decode
6,893.2445,266.6755,586.6953,3995.4485,917,decode
7,899.3826,234.4871,580.5352,1722.2381,917,decode
8,875.2658,344.8614,583.1211,7483.0469,917,decode
9,871.5748,259.8926,580.75,1788.1905,917,decode
10,860.5503,277.8324,583.0508,1850.7143,917,decode
11,867.3769,317.9298,581.3867,6563.7734,917,decode
12,858.4401,268.3867,584.7031,1711.381,917,decode
13,870.7025,302.9481,574.3555,5897.5942,917,decode
14,861.1626,294.0022,580.0938,3678.5156,917,decode
15,866.866,268.9565,578.8125,1902.4762,917,decode
16,861.4401,298.3407,582.0312,4259.2258,917,decode
17,861.2278,261.2925,575.9805,1774.0,917,decode
18,857.9333,292.6719,593.9883,3572.2533,916,decode
19,867.3103,257.1436,577.3789,1782.6667,915,decode
20,863.5981,337.2939,587.4688,5012.8516,915,decode
21,858.0008,259.655,580.332,1759.5,914,decode
22,861.5168,344.1985,592.3281,7010.6563,914,decode
23,870.8305,340.9737,574.6211,5130.5859,914,decode
24,854.692,280.3096,583.8789,1800.7143,914,decode
25,868.0769,268.9346,564.8984,1905.3333,914,decode
26,856.1453,298.1639,584.1641,4308.457,914,decode
27,859.6302,255.8709,569.2422,1654.2273,914,decode
28,854.8439,333.7028,593.5547,6692.168,914,decode
29,863.3529,286.6106,565.9062,4859.8125,914,decode
30,852.6467,303.9246,583.8047,4838.8789,914,decode
31,864.3019,253.7803,564.7852,1710.3182,914,decode
32,854.908,282.1229,586.543,1707.0455,914,decode
33,865.9286,324.4408,572.1484,6157.9453,914,decode
34,855.3416,306.0893,590.8477,5012.8516,914,decode
35,857.7384,258.7866,571.9688,1710.7273,914,decode
36,859.1469,283.2369,564.8984,1715.0,914,decode
37,905.055,245.7924,572.8516,1656.6818,914,decode
38,846.165,288.8935,569.2422,4259.2258,914,decode
39,847.6558,250.9144,575.7187,1711.9091,914,decode
40,846.6324,294.288,565.9062,3995.4485,914,decode
41,858.8126,320.9954,569.3594,6563.7734,914,decode
42,845.5978,341.6073,564.7852,7212.8711,914,decode
43,846.5545,248.4901,577.2617,1673.3636,914,decode
44,843.304,269.9478,572.1484,2777.1739,914,decode
45,852.4286,256.3933,576.5273,1733.2174,914,decode
46,847.469,320.3501,571.9688,5897.6797,914,decode
47,856.1138,304.7817,573.3867,4858.0234,914,decode
48,839.8118,267.2932,577.8867,1694.25,914,decode
49,849.6889,249.5149,574.457,1656.6818,914,decode
50,843.4353,264.4267,577.9648,1716.3043,914,decode
51,854.2749,318.679,571.8477,7024.8359,914,decode
52,842.2728,294.0795,564.8984,4639.7826,914,decode
53,852.5874,295.8847,575.8711,5897.5942,914,decode
54,843.9078,271.3766,569.2422,1741.7727,914,decode
55,859.7447,378.5486,575.3125,7010.6563,914,decode
56,847.6268,343.1552,565.9062,7483.0469,914,decode
57,852.2979,241.4495,595.4609,1662.1364,914,decode
58,843.9196,282.4994,564.7852,3995.4485,914,decode
59,848.9793,246.1985,571.5742,1650.7727,914,decode
60,849.0679,315.1712,572.1484,4859.8125,914,decode
61,847.106,246.933,573.8516,1652.9545,914,decode
62,841.9821,277.5876,571.8477,3572.2533,914,decode
63,864.6597,291.6444,580.5352,5897.6797,914,decode
64,851.3897,335.4175,572.8516,7024.8359,914,decode
65,847.2208,242.6882,576.2891,1661.5217,914,decode
66,842.6409,264.2088,575.7187,1656.5909,914,decode
67,845.4675,246.1099,581.3867,1656.8636,914,decode
68,841.4369,266.5649,569.3594,1673.3636,914,decode
69,858.2947,316.7298,574.3555,7024.8359,914,decode
70,849.6791,324.9947,577.2617,6692.168,914,decode
71,859.0521,243.3331,578.8125,1662.6364,914,decode
72,870.6851,375.8445,576.5273,6632.125,914,decode
73,861.716,283.6741,575.9805,5465.5352,914,decode
74,844.2716,260.0916,573.3867,1678.6087,914,decode
75,855.7325,241.9352,577.3789,1716.3043,914,decode
76,855.2378,275.1083,574.457,3995.4485,914,decode
77,867.1669,348.8924,580.332,7024.8359,914,decode
78,839.4178,257.0224,571.8477,1587.7826,914,decode
79,852.4119,232.3682,574.6211,1629.16,914,decode
80,848.1778,284.286,575.8711,4639.7826,914,decode
81,848.7871,237.9777,580.125,1667.3913,914,decode
82,849.2429,252.7884,565.9961,1718.2609,914,decode
83,929.3164,2255.9116,583.9609,68602.0,914,decode
84,843.1126,258.6247,577.457,1832.7458,914,decode
85,850.0145,239.3577,577.957,1624.1864,914,decode
86,845.6263,254.4464,571.5742,1624.7684,914,decode
87,853.9448,252.6834,577.4922,3434.7539,914,decode
88,844.2622,260.5098,570.0039,1646.0,914,decode
89,860.073,240.1673,576.1953,1718.3672,914,decode
90,847.0516,260.3234,578.2109,1675.5652,914,decode
91,850.5077,242.5985,576.9961,1650.56,914,decode
92,849.4533,273.2628,575.5312,3572.2533,914,decode
93,858.364,311.7699,580.2031,5897.5942,914,decode
94,873.1616,869.0854,572.8516,25639.3,914,decode
95,864.1357,322.7779,576.1484,7268.7422,914,decode
96,860.4772,372.8636,574.3555,7212.8711,914,decode
97,850.7046,235.4816,577.7227,1694.25,914,decode
98,844.2992,254.5431,576.4492,1628.5,914,decode
99,861.192,322.0182,565.9961,7212.8711,914,decode
100,862.1977,371.9002,575.9805,6157.9453,914,decode
101,859.1256,232.9645,577.457,1745.2539,914,decode
102,844.6225,252.494,576.5273,1628.8023,914,decode
103,856.135,301.0894,587.3047,6563.7734,914,decode
104,848.8677,283.2458,580.332,4858.0234,914,decode
105,857.8394,270.9239,570.0039,4259.2258,914,decode
106,857.2953,355.0855,574.6211,6772.582,914,decode
107,872.8913,292.4882,578.2109,4308.457,914,decode
108,851.5749,268.6102,573.7148,3678.5156,914,decode
109,862.7584,305.4427,565.9961,5012.8516,914,decode
110,842.2972,250.7918,575.8711,1625.5028,914,decode
111,852.5524,253.9512,572.8516,3995.4485,914,decode
112,844.4862,252.1813,575.3125,1658.2316,914,decode
113,867.1295,252.2368,575.7187,3434.7539,914,decode
114,859.9517,291.222,577.4922,5012.8516,914,decode
115,851.6313,242.3006,570.0039,1675.5652,914,decode
116,848.3867,292.5714,571.5742,5012.8516,914,decode
117,849.3486,240.0736,578.2109,1650.1739,914,decode
118,869.3742,370.7731,573.8516,2777.1739,914,decode
119,851.6255,246.9613,575.5312,1733.2174,914,decode
120,845.5438,262.6929,580.2031,1729.4348,914,decode
121,859.7183,234.1792,572.8516,1650.3913,914,decode
122,874.9425,287.9082,576.1484,4859.8125,914,decode
123,849.8257,237.6258,575.7187,1593.32,914,decode
124,841.5577,261.3601,577.7227,1699.7083,914,decode
125,851.3188,243.5416,573.7148,1679.4583,914,decode
126,850.9471,271.6544,574.3555,3434.7539,914,decode
127,855.8264,271.3151,575.8711,4858.0234,914,decode
128,858.6985,350.2999,578.8125,6157.9453,914,decode
129,866.5333,385.0984,575.3125,7483.0469,914,decode
130,852.6528,348.0315,575.9805,7024.8359,914,decode
131,878.4183,853.8734,581.293,25639.3,914,decode
132,843.4499,255.5651,565.9961,1596.7083,914,decode
133,857.9828,284.4416,564.8984,5897.5942,914,decode
134,857.0864,369.283,577.457,6772.582,914,decode
135,853.5513,266.5914,569.2422,4858.0234,914,decode
136,849.6009,326.8898,574.6211,7212.8711,914,decode
137,852.0145,252.0448,565.9062,3572.2533,914,decode
138,837.9415,250.65,570.0039,1590.88,914,decode
139,856.9268,278.42,564.7852,4639.7826,914,decode
140,848.6691,255.4825,565.9961,1745.2539,914,decode
141,856.9293,318.1746,572.1484,7268.7422,914,decode
142,841.103,253.1224,575.5312,1627.76,914,decode
143,851.6029,240.7149,571.5742,1614.5,914,decode
144,842.5914,248.8362,572.8516,1679.3333,914,decode
145,855.7402,283.3004,572.8516,5897.6797,914,decode
146,845.7492,252.5922,570.0039,1694.25,914,decode
147,852.9296,256.4208,575.7187,3995.4485,914,decode
148,844.5642,245.1162,576.2891,1586.0,914,decode
149,873.0502,301.8371,569.3594,7010.6563,914,decode
150,845.0491,275.9174,575.5312,4259.2258,914,decode
151,849.6585,230.7816,577.2617,1578.0,914,decode
152,853.7313,348.0841,572.8516,7212.8711,914,decode
153,847.6883,232.421,574.3555,1574.375,914,decode
154,963.7795,3685.7153,575.7187,112013.8,914,decode
155,848.6524,246.8956,573.3867,2809.2031,914,decode
156,842.9735,286.9204,576.4492,4858.0234,914,decode
157,848.3166,230.2098,574.457,1567.375,914,decode
158,849.4509,283.4016,573.7148,5130.5859,914,decode
159,850.0567,237.2077,571.8477,1570.4,914,decode
160,839.1575,247.2463,575.8711,1548.68,914,decode
161,844.9782,234.5612,565.9961,1572.8333,914,decode
162,838.7828,246.874,575.3125,1580.12,914,decode
163,848.4809,232.3735,574.6211,1583.2,914,decode
164,853.57,249.4391,576.4492,1653.8462,914,decode
165,866.018,374.131,576.9961,7588.0,914,decode
166,843.4745,247.1447,571.5742,1573.25,914,decode
167,883.1425,867.0052,570.0039,25639.3,914,decode
168,851.5295,287.2148,573.8516,4639.7826,914,decode
169,855.1186,239.2597,573.8516,1679.3333,914,decode
170,864.1088,235.4497,575.3125,1642.76,914,decode
171,870.558,301.5694,575.5312,6692.168,914,decode
172,852.4637,244.846,580.1055,1628.5,914,decode
173,874.6301,308.0115,572.8516,5897.5942,913,decode
174,849.1542,237.9207,571.5742,1565.48,913,decode
175,871.9346,238.8412,575.7187,3678.5156,913,decode
176,1024.5248,389.7739,573.8516,1745.2539,913,decode
177,853.0312,226.5077,574.3555,1629.16,913,decode
178,847.1776,246.9322,576.2891,1632.2,913,decode
179,862.0002,323.5004,576.1484,7268.7422,913,decode
180,848.2357,314.948,575.9805,6772.582,913,decode
181,850.925,226.4404,575.9805,1588.92,913,decode
182,854.5918,251.5575,577.3789,3572.2533,913,decode
183,867.1383,276.5098,577.3789,4858.0234,913,decode
184,856.7973,316.7614,574.3555,7024.8359,913,decode
