round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,0,0,python_code,50,12000,0.0,True,stream_139960412207088_0_14160011548407225
0,1,1,WizardLM,14,12000,0.0,True,stream_139960412207088_1_14160011548711407
0,2,2,python_code,50,838,0.0,True,stream_139960412207088_2_14160011548801325
0,3,3,WizardLM,82,12000,0.0,True,stream_139960412207088_3_14160011548878458
0,4,4,python_code,13,12000,0.0,True,stream_139960412207088_4_14160011548956153
0,5,5,python_code,47,12000,0.0,True,stream_139960412207088_5_14160011549025264
0,6,6,python_code,15,12000,0.0,True,stream_139960412207088_6_14160011549094473
0,7,7,LongForm,395,1285,0.0,True,stream_139960412207088_7_14160011549160111
0,8,8,WizardLM,140,12000,0.0,True,stream_139960412207088_8_14160011549248722
0,9,9,LongForm,14,2186,0.0,True,stream_139960412207088_9_14160011549321687
0,10,10,LongForm,12,12000,0.0,True,stream_139960412207088_10_14160011549386338
0,11,11,python_code,14,12000,0.0,True,stream_139960412207088_11_14160011549451405
0,12,12,WizardLM,133,12000,0.0,True,stream_139960412207088_12_14160011549514406
0,13,13,python_code,18,12000,0.0,True,stream_139960412207088_13_14160011549585169
0,14,14,python_code,50,414,0.0,True,stream_139960412207088_14_14160011549654652
0,15,15,WizardLM,154,1191,0.0,True,stream_139960412207088_15_14160011549748716
0,16,16,WizardLM,16,724,0.0,True,stream_139960412207088_16_14160011549999006
0,17,17,WizardLM,66,12000,0.0,True,stream_139960412207088_17_14160011550092173
0,18,18,LongForm,15,12000,0.0,True,stream_139960412207088_18_14160011550167955
0,19,19,LongForm,263,12000,0.0,True,stream_139960412207088_19_14160011550236923
0,20,0,python_code,50,2450,0.0,False,stream_139960412207088_20_14160011765939077
0,21,1,WizardLM,14,12000,2.0,False,stream_139960412207088_21_14160013767255521
0,22,2,python_code,50,12000,4.04,False,stream_139960412207088_22_14160015801036808
0,23,3,WizardLM,82,12000,6.0,False,stream_139960412207088_23_14160017766124884
0,24,4,python_code,13,12000,8.01,False,stream_139960412207088_24_14160019780011114
0,25,5,python_code,47,12000,10.01,False,stream_139960412207088_25_14160021775652970
0,26,6,python_code,15,12000,12.0,False,stream_139960412207088_26_14160023767817816
0,27,7,LongForm,395,1248,14.05,False,stream_139960412207088_27_14160025812541118
0,28,8,WizardLM,140,12000,16.03,False,stream_139960412207088_28_14160027797708058
0,29,9,LongForm,14,12000,18.02,False,stream_139960412207088_29_14160029785225091
0,30,10,LongForm,12,12000,20.0,False,stream_139960412207088_30_14160031767682877
0,31,11,python_code,14,12000,22.05,False,stream_139960412207088_31_14160033810943998
0,32,12,WizardLM,133,12000,24.03,False,stream_139960412207088_32_14160035795501632
0,33,13,python_code,18,12000,26.02,False,stream_139960412207088_33_14160037781000246
0,34,14,python_code,50,1334,28.06,False,stream_139960412207088_34_14160039825592526
0,35,15,WizardLM,154,12000,30.04,False,stream_139960412207088_35_14160041809867929
0,36,16,WizardLM,16,1021,32.03,False,stream_139960412207088_36_14160043794917881
0,37,17,WizardLM,66,12000,34.04,False,stream_139960412207088_37_14160045807241951
0,38,18,LongForm,15,12000,36.04,False,stream_139960412207088_38_14160047805072960
0,39,19,LongForm,263,12000,38.01,False,stream_139960412207088_39_14160049775540793
0,40,0,python_code,50,12000,40.02,False,stream_139960412207088_40_14160051785471449
0,41,1,WizardLM,14,12000,42.02,False,stream_139960412207088_41_14160053790480408
0,42,2,python_code,50,4216,44.02,False,stream_139960412207088_42_14160055782997996
0,43,3,WizardLM,82,12000,46.04,False,stream_139960412207088_43_14160057807270206
0,44,4,python_code,13,12000,48.04,False,stream_139960412207088_44_14160059804870887
0,45,5,python_code,47,12000,50.0,False,stream_139960412207088_45_14160061768282669
0,46,6,python_code,15,12000,52.06,False,stream_139960412207088_46_14160063828188200
0,47,7,LongForm,395,2930,54.02,False,stream_139960412207088_47_14160065785378354
0,48,8,WizardLM,140,12000,56.02,False,stream_139960412207088_48_14160067785219670
0,49,9,LongForm,14,12000,58.03,False,stream_139960412207088_49_14160069793830000
0,50,10,LongForm,12,12000,60.02,False,stream_139960412207088_50_14160071781180078
0,51,11,python_code,14,12000,62.0,False,stream_139960412207088_51_14160073766123467
0,52,12,WizardLM,133,12000,64.04,False,stream_139960412207088_52_14160075810101715
0,53,13,python_code,18,12000,66.03,False,stream_139960412207088_53_14160077791760107
0,54,14,python_code,50,12000,68.06,False,stream_139960412207088_54_14160079828460326
0,55,15,WizardLM,154,12000,70.06,False,stream_139960412207088_55_14160081820981556
0,56,16,WizardLM,16,1122,72.04,False,stream_139960412207088_56_14160083810855489
0,57,17,WizardLM,66,12000,74.06,False,stream_139960412207088_57_14160085830427834
0,58,18,LongForm,15,12000,76.01,False,stream_139960412207088_58_14160087778453161
0,59,19,LongForm,263,12000,78.04,False,stream_139960412207088_59_14160089801382880
0,60,0,python_code,50,12000,80.05,False,stream_139960412207088_60_14160091816751412
0,61,1,WizardLM,14,12000,82.04,False,stream_139960412207088_61_14160093801086490
0,62,2,python_code,50,12000,84.04,False,stream_139960412207088_62_14160095803498975
0,63,3,WizardLM,82,12000,86.01,False,stream_139960412207088_63_14160097775066349
0,64,4,python_code,13,12000,88.02,False,stream_139960412207088_64_14160099785907065
0,65,5,python_code,47,12000,90.02,False,stream_139960412207088_65_14160101786002514
0,66,6,python_code,15,12000,92.02,False,stream_139960412207088_66_14160103787182791
0,67,7,LongForm,395,1880,94.04,False,stream_139960412207088_67_14160105805993791
0,68,8,WizardLM,140,12000,96.06,False,stream_139960412207088_68_14160107830419275
0,69,9,LongForm,14,12000,98.07,False,stream_139960412207088_69_14160109834625578
0,70,10,LongForm,12,12000,100.02,False,stream_139960412207088_70_14160111786957571
0,71,11,python_code,14,12000,102.06,False,stream_139960412207088_71_14160113830636169
0,72,12,WizardLM,133,12000,104.02,False,stream_139960412207088_72_14160115790842837
0,73,13,python_code,18,12000,106.04,False,stream_139960412207088_73_14160117801409168
0,74,14,python_code,50,5922,108.06,False,stream_139960412207088_74_14160119826261752
