round,step,time_s,step_energy_mj,num_active,num_prefill
0,0,0.0,57841.0001,0,1
0,1,1.6043,66377.9999,21,0
0,2,1.7086,40819.9999,21,0
0,3,1.7703,41064.0001,21,0
0,4,1.834,41413.0,21,0
0,5,1.8907,39685.9999,21,0
0,6,1.9473,37603.0,21,0
0,7,2.0013,51404.9999,0,1
0,8,2.0776,41424.0001,22,0
0,9,2.1326,41870.9998,22,0
0,10,2.1918,38268.0,22,0
0,11,2.2479,37330.0,22,0
0,12,2.3022,40786.9999,22,0
0,13,2.359,41084.0001,22,0
0,14,2.4136,38183.0,22,0
0,15,2.4685,41357.9999,22,0
0,16,2.53,42238.0003,22,0
0,17,2.5939,40201.9999,22,0
0,18,2.6517,38231.0002,22,0
0,19,2.7042,41318.0002,22,0
0,20,2.7631,42196.9998,22,0
0,21,2.8204,45026.0,22,0
0,22,2.8822,43824.9999,22,0
0,23,2.9439,42508.0,22,0
0,24,3.0029,40749.0,22,0
0,25,3.0576,40757.0001,22,0
0,26,3.1173,40964.9999,22,0
0,27,3.1732,39274.0002,22,0
0,28,3.2266,38941.9998,22,0
0,29,3.2829,40244.0002,22,0
0,30,3.342,42764.9999,22,0
0,31,3.4008,43166.0,22,0
0,32,3.4582,42103.0,22,0
0,33,3.5156,38061.9999,22,0
0,34,3.5716,37538.9998,22,0
0,35,3.6259,40764.0001,22,0
0,36,3.6825,41148.9999,22,0
0,37,3.7369,42694.0002,22,0
0,38,3.7984,43478.9999,22,0
0,39,3.8623,41214.0,22,0
0,40,3.9192,41201.9997,22,0
0,41,3.9776,40055.0002,22,0
0,42,4.0351,51760.9999,0,1
0,43,4.1053,42801.9998,23,0
0,44,4.1627,41927.0002,23,0
0,45,4.2203,40640.9999,23,0
0,46,4.2764,40262.0,23,0
0,47,4.3351,41140.0001,23,0
0,48,4.3954,38453.0001,23,0
0,49,4.4519,37834.0,23,0
0,50,4.5059,41753.0,23,0
0,51,4.561,41022.0,23,0
0,52,4.6175,39957.0003,23,0
0,53,4.6769,40247.9998,23,0
0,54,4.7378,37642.0001,23,0
0,55,4.792,37858.0,23,0
0,56,4.8472,42630.0,23,0
0,57,4.9039,40760.9998,23,0
0,58,4.9586,41622.9998,23,0
0,59,5.0195,41353.0002,23,0
0,60,5.0806,40671.9999,23,0
0,61,5.1403,40585.0002,23,0
0,62,5.2,41537.0001,23,0
0,63,5.2607,38335.0,23,0
0,64,5.317,38735.9998,23,0
0,65,5.3709,40833.0001,23,0
0,66,5.4262,43843.9999,23,0
0,67,5.4854,40998.0001,23,0
0,68,5.5412,40298.0,23,0
0,69,5.5998,38921.0,23,0
0,70,5.6583,38311.9999,23,0
0,71,5.7115,41075.0,23,0
0,72,5.7669,41202.9999,23,0
0,73,5.8221,41087.0,23,0
0,74,5.8821,40168.0,23,0
0,75,5.94,40100.0001,23,0
0,76,6.0002,56235.0001,0,1
0,77,6.0697,44677.0,24,0
0,78,6.1269,41015.0,24,0
0,79,6.1829,41520.9998,24,0
0,80,6.2429,40532.0002,24,0
0,81,6.3008,40496.9999,24,0
0,82,6.3609,40594.0001,24,0
0,83,6.4209,39499.0002,24,0
0,84,6.4756,40305.0001,24,0
0,85,6.5324,42248.0001,24,0
0,86,6.5891,41339.9999,24,0
0,87,6.6436,40473.0,24,0
0,88,6.7015,39576.0,24,0
0,89,6.7559,40345.0,24,0
0,90,6.8114,43532.0001,24,0
0,91,6.8683,41220.0003,24,0
0,92,6.9246,40533.9997,24,0
0,93,6.9824,40265.0001,24,0
0,94,7.0422,39599.9999,24,0
0,95,7.0969,40402.0,24,0
0,96,7.1569,40341.0002,24,0
0,97,7.2122,43653.9999,24,0
0,98,7.2694,41334.0002,24,0
0,99,7.3252,40390.9998,24,0
0,100,7.3829,39463.0001,24,0
0,101,7.4375,40658.0002,24,0
0,102,7.4932,43772.9999,24,0
0,103,7.5502,44305.0002,24,0
0,104,7.6102,41802.9996,24,0
0,105,7.6658,42250.0001,24,0
0,106,7.7258,41621.9999,24,0
0,107,7.7865,40450.0,24,0
0,108,7.8443,40509.0002,24,0
0,109,7.9043,39594.9999,24,0
0,110,7.9588,40420.0001,24,0
0,111,8.0141,45429.9999,0,1
0,112,8.0791,40200.0,25,0
0,113,8.1342,43604.0001,25,0
0,114,8.1916,41305.9999,25,0
0,115,8.2473,40790.9998,25,0
0,116,8.3054,40619.0002,25,0
0,117,8.3656,40637.0001,25,0
0,118,8.4256,41640.0,25,0
0,119,8.4878,40721.9998,25,0
0,120,8.5461,40554.0001,25,0
0,121,8.6064,40370.0001,25,0
0,122,8.6663,70356.0001,25,0
0,123,8.7761,44276.9998,25,0
0,124,8.8346,45413.0001,25,0
0,125,8.8944,43260.9998,25,0
0,126,8.9534,45214.0001,25,0
0,127,9.0135,41590.0002,25,0
0,128,9.0694,40678.0,25,0
0,129,9.1273,41184.0,25,0
0,130,9.1851,40556.9999,25,0
0,131,9.2422,40021.0,25,0
0,132,9.2986,42491.0001,25,0
0,133,9.3559,44252.9998,25,0
0,134,9.4144,41785.9999,25,0
0,135,9.4703,41165.0001,25,0
0,136,9.5284,42233.0002,25,0
0,137,9.5909,40664.0,25,0
0,138,9.6483,41819.9998,25,0
0,139,9.7062,40556.0,25,0
0,140,9.7691,41093.0001,25,0
0,141,9.8293,40951.0,25,0
0,142,9.8895,40740.0001,25,0
0,143,9.9494,41303.0001,25,0
0,144,10.0097,51954.9999,0,1
0,145,10.0792,44975.0001,26,0
0,146,10.1372,44086.0001,26,0
0,147,10.1964,41927.0002,26,0
0,148,10.2523,41132.0,26,0
0,149,10.3102,40950.0,26,0
0,150,10.3706,41476.0002,26,0
0,151,10.4307,40961.0,26,0
0,152,10.4905,41064.0,26,0
0,153,10.5506,41088.9999,26,0
0,154,10.611,42243.0001,26,0
0,155,10.6732,44494.0001,26,0
0,156,10.7381,41274.0,26,0
0,157,10.7937,39949.9999,26,0
0,158,10.8514,40918.9998,26,0
0,159,10.9138,40635.9999,26,0
0,160,10.9738,41243.0001,26,0
0,161,11.0341,41176.9998,26,0
0,162,11.0942,44447.0001,26,0
0,163,11.1591,41276.9998,26,0
0,164,11.2148,40648.0001,26,0
0,165,11.2755,44282.9998,26,0
0,166,11.3399,43804.0001,26,0
0,167,11.3999,41070.0001,26,0
0,168,11.4553,40852.9999,26,0
0,169,11.5152,40969.0,26,0
0,170,11.5757,41120.9998,26,0
0,171,11.6356,44403.0,26,0
0,172,11.7007,43912.0001,26,0
0,173,11.761,44104.9999,26,0
0,174,11.821,43480.9999,26,0
0,175,11.8812,43806.0002,26,0
0,176,11.9416,44474.0,26,0
0,177,12.0019,42548.0,0,1
0,178,12.0651,42204.0,27,0
0,179,12.1229,43814.9999,27,0
0,180,12.1824,44026.0,27,0
0,181,12.2425,45008.0,27,0
0,182,12.3037,42455.0,27,0
0,183,12.3628,43908.9999,27,0
0,184,12.4228,43846.9999,27,0
0,185,12.4831,43725.0001,27,0
0,186,12.5435,45657.0001,27,0
0,187,12.6056,42286.0001,27,0
0,188,12.6654,43604.9999,27,0
0,189,12.7238,43687.0,27,0
0,190,12.7837,43822.0,27,0
0,191,12.8439,44232.9999,27,0
0,192,12.9039,43543.9999,27,0
0,193,12.9641,43921.0001,27,0
0,194,13.0242,41160.9999,27,0
0,195,13.0808,39397.0,27,0
0,196,13.1377,39494.9999,27,0
0,197,13.1975,39490.9998,27,0
0,198,13.2576,39574.0001,27,0
0,199,13.3185,39447.0,27,0
0,200,13.3788,39691.0,27,0
0,201,13.4382,42330.9999,27,0
0,202,13.5055,43598.0,27,0
0,203,13.5655,43410.0002,27,0
0,204,13.6256,43878.9997,27,0
0,205,13.6862,43854.0,27,0
0,206,13.746,44636.0,27,0
0,207,13.8086,42761.0,27,0
0,208,13.8675,43705.0,27,0
0,209,13.9262,42957.9999,27,0
0,210,13.9865,43027.9999,27,0
0,211,14.0466,75319.0,0,1
0,212,14.1196,43419.0003,28,0
0,213,14.176,40196.0001,28,0
0,214,14.2332,42773.9998,28,0
0,215,14.2909,42548.0001,28,0
0,216,14.3502,43454.9999,28,0
0,217,14.4108,42378.0,28,0
0,218,14.4709,44030.0001,28,0
0,219,14.5298,43886.9998,28,0
0,220,14.5888,44369.0001,28,0
0,221,14.6481,44546.0,28,0
0,222,14.7086,44279.0,28,0
0,223,14.7684,45665.0,28,0
0,224,14.8295,43694.9999,28,0
0,225,14.8888,41554.0001,28,0
0,226,14.9458,40263.9998,28,0
0,227,15.0042,40293.9999,28,0
0,228,15.0639,41023.0002,28,0
0,229,15.1268,44956.0002,28,0
0,230,15.1907,44105.9999,28,0
0,231,15.2505,44239.9999,28,0
0,232,15.3105,44355.0,28,0
0,233,15.3705,44851.0,28,0
0,234,15.4329,43639.0003,28,0
0,235,15.4926,44539.9997,28,0
0,236,15.5507,43761.0,28,0
0,237,15.6106,43243.0,28,0
0,238,15.6708,44198.0001,28,0
0,239,15.7315,42721.0,28,0
0,240,15.7941,43885.0,28,0
0,241,15.8523,43957.9999,28,0
0,242,15.9113,43832.0,28,0
0,243,15.9715,45269.0001,28,0
0,244,16.0318,60052.0,0,1
0,245,16.0964,44095.9998,29,0
0,246,16.1548,43461.0002,29,0
0,247,16.2122,44861.0001,29,0
0,248,16.2729,44884.9998,29,0
0,249,16.3331,44142.0,29,0
0,250,16.3931,44589.0002,29,0
0,251,16.4545,43925.0,29,0
0,252,16.5145,43746.9999,29,0
0,253,16.5736,45497.0,29,0
0,254,16.6348,43175.0,29,0
0,255,16.6939,44563.0002,29,0
0,256,16.7568,44536.9999,29,0
0,257,16.8158,43352.9999,29,0
0,258,16.874,42985.9999,29,0
0,259,16.9337,42657.0001,29,0
0,260,16.9938,44369.0001,29,0
0,261,17.0563,41987.0,29,0
0,262,17.114,42293.0,29,0
0,263,17.1743,43094.9998,29,0
0,264,17.2344,43528.0001,29,0
0,265,17.2948,42579.0,29,0
0,266,17.3548,43322.0,29,0
0,267,17.4149,42639.9999,29,0
0,268,17.4751,43505.0001,29,0
0,269,17.5358,42865.9999,29,0
0,270,17.5955,42832.0,29,0
0,271,17.6557,43150.9999,29,0
0,272,17.7157,42853.0,29,0
0,273,17.7759,43240.0,29,0
0,274,17.8361,42005.0,29,0
0,275,17.899,41751.0,29,0
0,276,17.9592,41712.9999,29,0
0,277,18.0193,45277.0,0,1
0,278,18.0886,42412.0002,30,0
0,279,18.146,40343.0001,30,0
0,280,18.201,41749.0,30,0
0,281,18.2605,43180.0001,30,0
0,282,18.3199,43094.0,30,0
0,283,18.3801,42765.0,30,0
0,284,18.4404,42815.0001,30,0
0,285,18.5005,42823.0,30,0
0,286,18.5603,43306.0001,30,0
0,287,18.6182,44767.0,30,0
0,288,18.678,44506.9999,30,0
0,289,18.7383,44803.0001,30,0
0,290,18.7983,44471.0002,30,0
0,291,18.8586,44655.9999,30,0
0,292,18.9186,44152.0,30,0
