position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
1,1781.1062,741.2146,914.2667,3160.8571,146,decode
2,1403.1209,319.599,916.7333,1943.8095,146,decode
3,1410.7599,319.8952,915.7119,1955.4286,146,decode
4,1408.1491,325.3895,914.1667,1972.0476,146,decode
5,1398.74,306.6608,919.1525,1889.8095,146,decode
6,1386.6983,286.16,910.0,1867.4546,146,decode
7,1414.5765,315.4957,912.3333,1882.9091,146,decode
8,1417.0795,321.0562,916.9333,1903.2273,146,decode
9,1395.7217,288.3565,922.6207,1919.9091,146,decode
10,1387.6587,277.0189,908.0167,1875.8667,146,decode
11,1428.2502,332.5019,935.1333,2814.24,146,decode
12,1418.4898,318.147,910.6102,1878.0909,146,decode
13,1396.3938,288.3721,911.4667,1918.0454,146,decode
14,1413.4944,317.6948,933.7797,2046.6364,146,decode
15,1428.215,331.7644,910.0167,1992.0455,146,decode
16,1412.7328,312.947,911.6167,1932.1818,146,decode
17,1397.562,288.0816,921.0333,1852.2273,146,decode
18,1418.2306,315.7456,908.0509,1878.0909,146,decode
19,1425.3755,327.2909,917.5,1918.0454,146,decode
20,1439.0737,350.9066,930.8947,2046.6364,146,decode
21,1441.0922,341.6012,914.8833,1992.0455,146,decode
22,1425.0317,328.5772,918.4068,1932.1818,146,decode
23,1415.8329,308.45,914.3833,1943.8636,146,decode
24,1419.3171,316.8707,917.8167,1962.0909,146,decode
25,1423.3108,322.8073,908.55,1913.7727,146,decode
26,1407.6142,298.6438,936.45,1843.0667,146,decode
27,1401.5258,293.0405,914.6,1846.0417,146,decode
28,1414.5502,310.3913,917.8167,1852.9091,146,decode
29,1434.4261,331.4172,928.5333,1943.8636,146,decode
30,1438.8198,334.309,905.4167,1962.0909,146,decode
31,1430.9534,329.0395,911.6667,1976.3182,146,decode
32,1401.6453,295.9823,915.7119,1873.3636,146,decode
33,1393.3115,300.59,906.1167,2003.2333,146,decode
34,1407.4431,321.4893,919.1525,1979.3667,146,decode
35,1404.8684,317.1404,910.0,1927.15,146,decode
36,1414.8636,330.9818,907.6667,1940.6364,146,decode
37,1424.7418,341.7369,922.0678,1976.3182,146,decode
38,1415.072,323.049,914.8833,1873.3636,146,decode
39,1424.575,342.1721,908.7333,1923.7833,146,decode
40,1394.2917,297.2832,924.0,1820.6818,146,decode
41,1426.529,337.8642,910.6102,1927.15,146,decode
42,1402.0774,304.9441,902.6333,1822.9131,146,decode
43,1395.8685,301.4403,923.4333,1805.1333,146,decode
44,1387.3242,292.949,911.0167,1875.8667,146,decode
45,1405.9193,328.0441,900.7167,2814.24,146,decode
46,1377.3413,277.7863,921.0333,1809.3667,146,decode
47,1382.4365,287.4234,908.0509,1820.7833,146,decode
48,1408.0067,317.3956,909.4,1898.4833,146,decode
49,1398.3376,299.1902,926.15,1864.8,146,decode
50,1408.788,309.3799,912.75,1875.8667,146,decode
51,1414.8736,326.9734,905.4,1977.85,146,decode
52,1379.587,279.7563,914.3833,1794.4667,146,decode
53,1380.7089,287.5187,924.6102,1804.1167,146,decode
54,1414.904,318.1591,907.1333,1853.4783,146,decode
55,1393.6536,301.5103,927.2667,1822.1,146,decode
56,1406.1954,310.9551,907.0167,1809.6956,146,decode
57,1401.7677,307.0994,900.1333,1804.3667,146,decode
58,1402.2948,303.1331,914.85,1906.2609,146,decode
59,1401.1158,301.0326,914.15,1823.875,146,decode
60,1404.5711,312.0202,909.8167,1846.0417,146,decode
61,1389.4377,291.4589,915.7119,1805.3833,146,decode
62,1392.8538,293.6337,906.1167,1816.8833,146,decode
63,1399.9737,306.7782,919.1525,1867.9667,146,decode
64,1423.8226,336.5688,910.0,1906.2609,146,decode
65,1398.2295,320.6328,907.6667,1899.9833,146,decode
66,1392.3901,311.3151,922.0678,2090.8833,146,decode
67,1374.6021,295.8505,914.8833,1860.7,146,decode
68,1378.1997,292.4506,908.7333,1979.3667,146,decode
69,1398.7341,316.1501,910.2333,1851.7,146,decode
70,1395.8855,305.3884,910.6102,1803.0167,146,decode
71,1390.4059,307.0991,911.1333,1851.95,146,decode
72,1384.3532,298.2339,933.7797,1791.6833,146,decode
73,1383.5555,296.0216,911.0167,1831.3167,146,decode
74,1419.0445,347.66,907.75,1979.3667,146,decode
75,1380.7734,290.2604,921.0333,1788.2167,146,decode
76,1380.1272,293.7866,908.0509,1782.7,146,decode
77,1381.1957,299.0678,916.5333,1851.95,146,decode
78,1381.577,312.3087,916.6833,2814.24,146,decode
79,1378.4969,297.0328,911.3167,1831.3167,146,decode
80,1375.6991,287.5469,909.1833,1898.4833,146,decode
81,1377.1526,288.9022,914.3833,1820.7833,146,decode
82,1386.8905,297.736,917.5667,1808.56,146,decode
83,1383.7584,301.1294,908.55,1878.2667,146,decode
84,1379.6144,287.1337,923.7167,1807.4833,146,decode
85,1373.0793,285.9289,907.0167,1807.85,146,decode
86,1372.3392,284.362,906.5667,1786.6667,146,decode
87,1401.654,314.5454,911.5,1820.7833,146,decode
88,1384.5076,292.2644,914.15,1818.9167,146,decode
89,1386.6489,301.783,905.25,1864.8,146,decode
90,1380.7621,290.6713,909.0,1807.4833,146,decode
91,1369.229,279.8927,906.1167,1804.3667,146,decode
92,1378.5036,291.4939,912.0,1802.1667,146,decode
93,1380.4951,294.1633,911.1333,1843.0667,146,decode
94,1394.5324,317.8016,907.6667,1846.0417,146,decode
95,1387.317,304.2423,922.0678,1867.9667,146,decode
96,1376.1033,295.002,914.8833,1803.2333,146,decode
97,1368.7852,295.7931,908.7333,1859.9833,146,decode
98,1378.7003,309.1926,915.6833,2090.8833,146,decode
99,1385.162,314.5235,910.6102,1830.9,146,decode
100,1393.1283,320.548,911.1333,1860.7,146,decode
101,1380.7093,299.5748,913.5333,1842.6333,146,decode
102,1381.5753,298.0366,911.0167,1922.1,146,decode
103,1368.2567,298.5777,907.75,1778.0833,146,decode
104,1365.2001,288.5151,921.0333,1803.0167,146,decode
105,1372.3423,294.2902,908.0509,1820.2,146,decode
106,1363.1413,286.6662,916.15,1809.5333,146,decode
107,1370.1354,296.8248,916.6833,1842.6333,146,decode
108,1365.9135,299.6885,911.3167,1922.1,146,decode
109,1371.9122,299.9465,916.9333,1778.0833,146,decode
110,1363.8652,288.1322,914.3833,1803.0167,146,decode
111,1361.4936,284.6289,908.0167,1820.2,146,decode
112,1363.1817,297.6884,908.55,2814.24,146,decode
113,1358.3594,279.5761,912.75,1809.3667,146,decode
114,1366.7469,293.0749,907.0167,1816.52,146,decode
115,1354.8197,274.9497,906.5667,1761.55,146,decode
116,1355.9117,280.3898,910.0167,1808.56,146,decode
117,1362.4164,283.182,914.15,1878.2667,146,decode
118,1526.0705,586.8507,915.0333,2814.24,146,decode
119,1385.4098,308.0288,909.0,1823.0,146,decode
120,1385.4716,314.0104,906.1167,1816.52,146,decode
121,1370.1776,292.1743,914.85,1794.3167,146,decode
122,1384.0526,312.2343,909.6167,1808.56,146,decode
123,1370.1522,295.5479,907.6667,1808.05,146,decode
124,1354.3748,281.9999,910.0,1782.4833,146,decode
125,1357.2601,283.895,914.8833,1775.95,146,decode
126,1356.0041,281.8752,908.7333,1795.5667,146,decode
127,1357.0683,285.8555,915.6833,1867.9667,146,decode
128,1366.0703,293.5557,910.9667,1765.7667,146,decode
129,1378.5184,307.9911,910.6102,1859.9833,146,decode
130,1363.236,299.0918,912.6667,2090.8833,146,decode
131,1352.8256,282.9806,905.4167,1815.6667,146,decode
132,1360.6453,297.2376,907.75,1918.2667,146,decode
133,1356.9851,289.4565,912.3333,1843.0667,146,decode
134,1354.2301,287.6788,914.1667,1860.7,146,decode
135,1355.3587,286.8178,908.0509,1816.8833,146,decode
136,1346.0895,277.4541,916.6833,1775.3333,146,decode
137,1346.885,279.5778,911.3167,1764.9,146,decode
138,1352.6635,289.7564,916.9333,1821.4167,146,decode
139,1353.6998,287.3329,914.3833,1807.2667,146,decode
140,1370.8333,308.443,908.0167,1860.7,146,decode
141,1357.7419,289.3732,908.4833,1771.8,146,decode
142,1345.7695,275.737,923.7167,1770.55,146,decode
143,1341.3644,270.4554,902.6333,1764.9,146,decode
144,1337.485,269.126,906.5667,1764.0167,146,decode
145,1338.7936,267.6222,910.0167,1754.8167,146,decode
146,1342.5521,274.3446,900.7167,1789.05,146,decode
147,1338.6875,264.2237,914.2667,1741.7167,146,decode
148,1338.5032,259.7745,909.0,1772.65,146,decode
149,1342.2683,276.2439,906.1167,1795.6667,146,decode
150,1360.0673,285.588,914.1667,1878.2667,146,decode
151,1343.2793,270.9727,911.1333,1823.0,146,decode
152,1331.7044,265.1737,905.25,1777.7667,146,decode
153,1341.0063,271.0004,910.0,1773.7833,146,decode
154,1335.3876,273.0937,914.8833,1784.05,146,decode
155,1338.6046,266.992,907.1333,1768.3167,146,decode
156,1340.9723,270.9197,912.3333,1774.9667,146,decode
157,1358.0379,292.9982,910.9667,1783.5667,146,decode
158,1341.6603,272.7696,900.1333,1762.0,146,decode
159,1334.0691,266.1763,910.6102,1759.8167,146,decode
160,1359.8363,300.023,905.4167,1859.9833,146,decode
161,1351.3666,290.8338,907.75,1795.6833,146,decode
162,1337.778,275.7366,911.6167,1899.9833,146,decode
163,1332.3629,274.3248,914.1667,1873.7667,146,decode
164,1339.9412,276.7676,920.85,2090.8833,146,decode
165,1333.551,261.7855,908.0509,1918.2667,146,decode
166,1348.5292,289.2165,911.3167,1830.9,146,decode
167,1351.694,291.8507,914.8833,1800.9833,146,decode
168,1345.0288,284.2287,919.4,1733.3,146,decode
169,1338.6057,283.734,908.0167,1808.5,146,decode
170,1352.4816,289.1001,919.5932,1788.55,146,decode
171,1354.6263,296.8331,908.55,1815.6667,146,decode
172,1336.921,280.1904,902.6333,1830.9,146,decode
173,1335.7788,271.2462,906.5667,1740.9833,146,decode
174,1335.7135,273.3939,910.0167,1736.7333,146,decode
175,1347.9139,291.6161,900.7167,1808.5,146,decode
176,1333.5335,267.8735,923.8,1775.3333,146,decode
177,1340.3081,277.1334,909.0,1898.4833,146,decode
178,1341.8342,280.4498,909.4,1785.3,146,decode
179,1338.2444,271.5882,906.1167,1789.05,146,decode
180,1345.8089,283.1786,914.1667,1740.05,146,decode
181,1329.3859,265.375,905.4,1750.25,146,decode
182,1335.8438,278.0886,907.6667,1770.55,146,decode
183,1337.2298,273.5215,910.0,1823.0,146,decode
184,1335.4488,271.5033,907.1333,1878.2667,146,decode
185,1338.7929,279.1352,908.7333,1765.9,146,decode
186,1331.9352,274.7859,910.9667,1777.7667,146,decode
187,1336.4574,277.7237,900.1333,1773.7833,146,decode
188,1314.9404,253.0464,910.6102,1751.4833,146,decode
189,1317.4941,261.651,905.4167,1795.6667,146,decode
190,1323.9813,281.688,909.8167,1878.2667,146,decode
191,1309.8929,251.9255,907.75,1755.1667,146,decode
192,1380.9054,810.8804,911.6167,10559.7667,146,decode
193,1313.8806,262.7477,912.6667,1778.9333,146,decode
194,1314.7748,259.2309,908.0509,1899.9833,146,decode
195,1317.8464,271.6813,911.3167,2003.2333,146,decode
196,1332.7615,279.5245,912.3333,1831.9167,146,decode
197,1329.0581,277.5307,914.8833,2090.8833,146,decode
198,1325.8194,274.9162,908.0167,1760.3,146,decode
199,1328.5652,275.882,914.3833,1918.2667,146,decode
200,1340.2305,279.5038,923.45,1776.4,146,decode
201,1324.6867,268.3798,902.6333,1800.9833,146,decode
202,1325.1002,264.1086,907.0167,1738.2667,146,decode
203,1319.5165,265.7477,906.5667,1754.6667,146,decode
204,1325.1029,272.5649,900.7167,1760.3,146,decode
205,1334.1327,291.2446,914.15,1918.2667,146,decode
206,1306.6538,253.1287,909.0,1800.9333,146,decode
207,1320.8633,271.1826,909.4,1800.9833,146,decode
208,1314.6931,254.4887,921.5667,1729.35,146,decode
209,1321.2371,267.6612,906.1167,1898.4833,146,decode
210,1320.3939,263.7968,905.4,1758.5,146,decode
211,1321.6688,268.565,911.1333,1740.7333,146,decode
212,1327.7088,276.0208,907.6667,1800.9333,146,decode
213,1318.6022,261.3976,907.1333,1789.05,146,decode
214,1323.072,263.0056,912.75,1736.65,146,decode
215,1319.9766,272.2733,908.7333,1768.2333,146,decode
216,1334.1591,280.2839,900.1333,1823.0,146,decode
217,1316.2241,261.7585,913.5333,1745.15,146,decode
218,1302.8785,254.7768,905.4167,1752.4833,146,decode
219,1302.3678,262.9115,909.8167,1789.05,146,decode
220,1302.5048,252.8381,911.0167,1734.5667,146,decode
221,1305.6838,254.5807,907.75,1750.25,146,decode
222,1319.396,272.3868,914.85,1751.4833,146,decode
223,1321.2356,269.1096,914.1667,1738.5,146,decode
224,1318.7756,274.3064,908.0509,1867.9667,146,decode
225,1320.4284,276.8383,911.3167,1765.9,146,decode
226,1316.2559,272.7438,914.8833,1806.6833,146,decode
227,1318.9327,282.3343,908.0167,2003.2333,146,decode
228,1316.1203,274.5142,914.3833,1794.0,146,decode
229,1312.0492,265.2882,919.5932,1831.9167,146,decode
230,1306.556,259.6871,902.6333,1786.2333,146,decode
231,1315.397,269.4544,919.4,2090.8833,146,decode
232,1305.6391,260.0558,907.0167,1750.85,146,decode
233,1314.1141,270.5212,900.7167,1778.9333,146,decode
234,1317.6751,270.7389,917.7833,1787.4167,146,decode
235,1313.7561,265.0941,910.7,1748.7167,145,decode
236,1320.4541,280.6994,909.0,1786.2333,145,decode
237,1339.7106,327.1891,916.7333,2090.8833,145,decode
238,1297.6558,255.6769,906.1167,1721.55,145,decode
239,1304.7312,265.4266,905.4,1738.7333,145,decode
240,1303.4848,259.7696,911.1333,1723.7667,145,decode
241,1306.1608,258.0984,907.6667,1898.4833,145,decode
242,1309.5004,261.9115,907.1333,1738.2667,145,decode
243,1302.5858,260.4424,910.0,1740.4667,145,decode
244,1299.2518,254.3962,908.7333,1740.7333,145,decode
245,1309.8909,263.9952,900.1333,1752.7333,145,decode
246,1298.94,254.5829,916.6167,1726.4167,145,decode
247,1303.5931,262.2983,905.4167,1736.7333,145,decode
248,1301.0089,264.34,909.8167,1823.0,145,decode
249,1296.5075,253.8452,911.0167,1728.25,145,decode
250,1296.8519,253.6665,907.75,1753.8333,145,decode
251,1293.5179,251.0461,911.6167,1745.15,145,decode
252,1304.5268,260.4749,914.1667,1750.6333,145,decode
253,1288.9493,250.0373,905.25,1757.3,145,decode
254,1294.8685,256.3738,908.0509,1736.65,145,decode
255,1288.8254,252.4399,911.3167,1733.7833,145,decode
256,1297.9975,261.908,912.0,1867.9667,145,decode
257,1294.518,255.8206,908.0167,1758.8167,145,decode
258,1296.059,252.2367,912.4167,1724.0667,145,decode
259,1297.5807,265.429,902.6333,2003.2333,145,decode
260,1290.3438,253.5782,908.55,1759.8167,145,decode
261,1293.1899,257.2426,907.0167,1873.7667,145,decode
262,1289.6112,254.6811,900.7167,1747.3167,145,decode
