position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,phase
1,1408.246,754.3052,688.4583,3120.2857,181,decode
2,1144.9106,342.8176,668.63,1780.9524,181,decode
3,1119.6661,303.2028,687.5464,1707.3182,181,decode
4,1127.234,325.412,663.0,1729.9524,181,decode
5,1160.7907,470.9949,672.3,5687.1923,181,decode
6,1136.1794,331.8336,658.7653,1752.1905,181,decode
7,1134.532,329.0521,691.0319,1761.4762,181,decode
8,1147.3256,356.8823,647.57,1860.2857,181,decode
9,1127.9423,314.6889,683.8,1668.9565,181,decode
10,1143.3121,332.2356,673.9674,1694.7273,181,decode
11,1134.8565,325.0481,661.0515,1707.3182,181,decode
12,1133.2516,322.5179,690.8367,1698.0,181,decode
13,1127.2265,315.8701,678.07,1686.7391,181,decode
14,1133.1476,319.2667,684.3939,1751.6364,181,decode
15,1131.6821,319.3824,669.4021,1687.7273,181,decode
16,1127.1192,318.2194,660.6327,1714.0,181,decode
17,1130.6031,315.9063,671.0408,1667.8636,181,decode
18,1130.7145,320.1469,682.54,1694.7273,181,decode
19,1136.7127,322.1514,672.71,1693.5909,181,decode
20,1129.8286,319.6996,673.1134,1711.6364,181,decode
21,1123.741,312.855,659.1753,1691.2273,181,decode
22,1137.7969,331.2859,669.77,1751.6364,181,decode
23,1117.3677,305.1919,700.93,1720.0,181,decode
24,1121.8187,318.6606,680.15,1714.0,181,decode
25,1139.6808,423.2604,683.66,5146.96,181,decode
26,1117.4922,307.1416,680.85,1669.9545,181,decode
27,1119.3257,311.4734,668.63,1693.5909,181,decode
28,1124.6781,318.808,674.65,1711.6364,181,decode
29,1118.695,308.5708,663.0,1691.2273,181,decode
30,1115.724,308.9856,667.04,1671.3636,181,decode
31,1122.3496,318.2207,658.7653,1720.0,181,decode
32,1119.6291,311.8197,668.94,1687.5909,181,decode
33,1147.4816,459.8811,647.57,5687.1923,181,decode
34,1113.0251,312.5414,674.73,2772.6667,181,decode
35,1113.4631,305.8475,664.67,1715.6364,181,decode
36,1113.1696,306.6713,661.0515,1701.6364,181,decode
37,1102.9173,287.9897,680.52,1655.4091,181,decode
38,1106.5692,292.0746,663.09,1740.6364,181,decode
39,1115.2128,312.3481,671.21,1682.6818,181,decode
40,1100.4872,286.2583,656.93,1618.8696,181,decode
41,1116.8871,315.5435,660.6327,1700.0909,181,decode
42,1109.3142,302.0681,671.0408,1644.5909,181,decode
43,1119.0506,315.9109,691.3776,1715.6364,181,decode
44,1118.326,313.3891,683.8571,1701.6364,181,decode
45,1109.1214,301.9958,673.1134,1655.4091,181,decode
46,1121.9794,324.3951,659.1753,1740.6364,181,decode
47,1114.9611,307.396,669.77,1668.9565,181,decode
48,1108.2535,295.2208,688.2,1618.8696,181,decode
49,1105.4548,294.627,678.58,1621.1739,181,decode
50,1089.0454,265.9323,690.24,1619.8261,181,decode
51,1108.3826,296.3225,673.08,1686.7391,181,decode
52,1092.5336,277.6157,668.63,1662.1739,181,decode
53,1106.813,297.0807,687.5464,1625.1304,181,decode
54,1107.5191,299.4724,663.0,1645.9565,181,decode
55,1110.9833,306.9932,667.04,1668.9565,181,decode
56,1090.0109,270.6008,651.66,1582.7391,181,decode
57,1096.4628,285.9674,674.29,1575.9131,181,decode
58,1097.9573,296.6222,647.57,1619.8261,181,decode
59,1113.1505,306.6822,683.8,1686.7391,181,decode
60,1110.0105,305.709,680.9175,1662.1739,180,decode
61,1095.7631,283.5252,661.0515,1568.68,180,decode
62,1128.4109,447.6796,681.78,5687.1923,180,decode
63,1094.0433,283.9913,673.9674,1557.5217,180,decode
64,1103.0143,292.1272,671.21,1582.7391,180,decode
65,1098.9401,284.7911,656.93,1571.5652,180,decode
66,1092.6202,277.7348,660.6327,1674.0,180,decode
67,1091.8156,285.1242,671.0408,1557.2609,180,decode
68,1094.3939,282.7105,691.3776,1616.64,180,decode
69,1094.6707,278.0727,678.8,1553.6667,180,decode
70,1091.5947,280.8129,672.14,1577.3913,180,decode
71,1094.3511,275.8025,659.1753,1541.5652,180,decode
72,1102.8755,311.1682,669.77,2772.6667,180,decode
73,1091.8034,275.5108,687.45,1608.3043,180,decode
74,1110.5521,308.751,678.58,1674.0,180,decode
75,1093.9285,279.1928,682.99,1618.8,180,decode
76,1100.3692,296.2078,673.08,1684.5417,180,decode
77,1092.5928,282.1488,668.63,1585.8333,180,decode
78,1095.6925,285.4623,688.4583,1577.3913,180,decode
79,1090.7038,283.5964,665.69,1578.3462,180,decode
80,1094.5299,285.9167,663.0,1568.3043,180,decode
81,1105.0222,299.333,658.7653,1608.3043,180,decode
82,1103.561,296.847,675.33,1631.2174,180,decode
